Qty,Qty to buy,Value,Device,Package,Parts,Description,Distributor
3,0,,LEDCHIPLED_0805,CHIPLED_0805,3V3 5V RUN,LED,
1,0,,MA06-1,MA06-1,IMU,PIN HEADER,
1,0,,SMDTOP-10,SMDTOP10,MOTOR,AMP connector,
2,0,,SMDTOP-4,SMDTOP4,LCOD RCOD,AMP connector,
4,0,100nF,C-EUC0805,C0805,C1 C2 C3 C6,CAPACITOR,
1,0,1k,R-US_M0805,M0805,R11,RESISTOR,
1,0,2.2k,R-US_M0805,M0805,R10,RESISTOR,
1,0,4.7k,R-US_M0805,M0805,R9,RESISTOR,
1,1,4.7uF,C-EUC0805,C0805,C5,CAPACITOR,FARNELL 1759420
1,1,10uF,C-EUC0805,C0805,C4,CAPACITOR,FARNELL 2320856
1,1,STM32F302_303C2,STM32F302_303C2,LQFP48-7X7MM,U1,,MOUSER 511-STM32F302C8T6
1,1,SWD/JTAG-_PINS,SWD/JTAG-_PINS,SAMTEC_SHF-105-01-L-D-SM,U$1,,FARNELL 1885915
3,3,,SMDTOP-6,SMDTOP6,RADIO RPI RPI2,AMP connector,FARNELL 2473376 FARNELL 2473358
